Company_Name,PCA1,PCA2,Cluster,Sector
삼성전자,0.4740484648006474,0.4198553109974988,1,반도체 및 관련장비
SK하이닉스,0.495327109965071,0.3358103134160101,1,반도체 및 관련장비
LG에너지솔루션,-0.1349661375428345,0.7596163020870945,3,전자 장비 및 기기
삼성바이오로직스,0.4089011549305435,-0.0464682625830394,1,바이오
삼성전자우,0.4747549258141059,0.4186102490412631,1,기타
현대차,0.1646149597502123,0.741122240155782,3,자동차
두산에너빌리티,0.5666469546003114,0.0526456536521798,1,기계
HD현대중공업,0.5573323176257896,0.1257134275686923,1,조선
KB금융,0.5194646265992799,0.1926345043592449,1,상업은행
한화에어로스페이스,0.5546079324597752,-0.1653408699090816,1,상업서비스
기아,0.2269829109032355,0.6496630451501747,3,자동차
셀트리온,-0.6230310934405419,0.6702115611906528,3,바이오
SK스퀘어,0.5290818731684197,0.2461898256650274,1,복합 산업
삼성물산,0.5391130647895175,0.2269940042074165,1,복합 산업
NAVER,0.4396658449623091,0.2070005146991135,1,인터넷 서비스
신한지주,0.53332498091275,0.238414434594535,1,상업은행
한화오션,0.5522679646723909,-0.0686074719605985,1,조선
한국전력,0.5644268380853967,0.1161051767485523,1,전력
삼성생명,0.4557063857791211,0.3789710225452529,1,보험
HD한국조선해양,0.5276060745034425,0.2280018140418825,1,조선
HD현대일렉트릭,0.2475684382515328,0.6981545788756537,3,전기장비
현대모비스,0.5205303192693236,0.1426503245969295,1,자동차부품
LG화학,0.1541122601720932,0.7138982258310826,3,화학
카카오,0.5266417651596917,0.1340214417897519,1,인터넷 서비스
하나금융지주,0.5578813281397763,0.0910871174532722,1,상업은행
POSCO홀딩스,0.4513603467285331,0.0883790670321252,1,금속 및 광물
삼성SDI,-0.8628004401231417,0.8382287929899499,3,전자 장비 및 기기
고려아연,-0.7432965839469092,0.8292935001872581,3,금속 및 광물
삼성화재,0.5542681746030171,0.0760658516892934,1,보험
삼성중공업,0.5588923804841344,0.1490115429625293,1,조선
현대로템,0.5709828911687524,-0.0765676952054248,1,운송인프라
SK이노베이션,-0.4607828098313201,0.3906083539139411,3,석유 및 가스
우리금융지주,0.5642979553905032,0.1048845144512707,1,상업은행
삼성전기,0.4261108692553385,0.4679169590585403,1,전자 장비 및 기기
메리츠금융지주,0.4310087294815494,-0.2738634015697546,1,증권
효성중공업,0.5359993454455134,0.275041561591963,1,전기장비
SK,0.527231880705268,0.225573228467236,1,석유 및 가스
포스코퓨처엠,-0.0410872459314154,0.7559279622171188,3,화학
HMM,0.4846170971831734,-0.2832909927587383,1,해상운수
KT&G,0.5402736173778846,0.1550621733805605,1,담배
기업은행,0.5583058023172396,0.0843774713607928,1,상업은행
HD현대,0.4579949406905122,0.4227131171916746,1,석유 및 가스
두산,0.548174525390384,0.147015307377989,1,복합 산업
LS ELECTRIC,0.5184325269671726,0.1742015666005721,1,전기장비
LG전자,-0.9552133497115978,0.7526880694100865,3,내구소비재
삼성에스디에스,0.4679590111735561,0.2262795873707888,1,IT 서비스
미래에셋증권,0.5633861477222595,0.0672902777980896,1,증권
KT,0.5312782376786374,-0.2338342959436518,1,무선통신
하이브,0.5467084963810664,-0.1108886953703416,1,미디어
LG,0.3179678536425396,0.3699244667751097,1,복합 산업
현대글로비스,0.2083725134758711,0.6123645885180786,3,육상운수
크래프톤,-0.2661843062562408,-0.9191969861507894,2,게임 소프트웨어
한미반도체,0.0725165409360605,0.5535664034241748,3,반도체 및 관련장비
SK텔레콤,-0.0786636356354688,0.0462307127664101,2,무선통신
SK바이오팜,-0.7396470081176472,0.6555173050380909,3,제약
삼양식품,0.5640531284822874,-0.007290076182032,1,식료품
이수페타시스,0.54200402438737,0.2180501156654256,1,전자 장비 및 기기
한국항공우주,0.5638068229537339,-0.0576495175421834,1,상업서비스
카카오뱅크,0.3802297903576401,-0.3397801640657234,1,상업은행
에이피알,0.565920902471382,0.1202751927397941,1,개인생활용품
포스코인터내셔널,0.5119664567247078,-0.1579665413966539,1,무역
유한양행,-0.771662761897213,0.3525239637366679,0,제약
한국금융지주,0.5548944106471714,0.122622073122088,1,증권
DB손해보험,0.4323431801668843,0.3129924388095869,1,보험
HD현대미포,0.459323930703636,0.2358252282752486,1,조선
한화시스템,0.5614633789343106,-0.122638947927391,1,상업서비스
HD현대마린솔루션,0.4881498657725412,0.2381923246965336,1,조선
S-Oil,0.3449245068638116,0.4315226347988089,1,석유 및 가스
LIG넥스원,0.5248536551238334,-0.071338465474252,1,상업서비스
대한항공,-0.8300973044603749,0.1289137583291278,0,항공운수
NH투자증권,0.5491442084096301,0.0778190881922832,1,증권
한국타이어앤테크놀로지,0.4289440910276812,0.2507642396845752,1,자동차부품
아모레퍼시픽,0.4814276495877682,-0.2393355599341781,1,개인생활용품
현대건설,0.5583845704196504,-0.1171571132686694,1,건설
키움증권,0.5494574743225673,0.1737840276544446,1,증권
삼성증권,0.5560362153417333,0.0976279665120807,1,증권
현대차2우B,0.389245251168977,0.5175674849106772,1,기타
카카오페이,0.5144260929279192,-0.0337259922393245,1,소비자 금융
한진칼,0.4999108808039654,-0.2093313685925125,1,항공운수
LG유플러스,0.5633099582348315,0.0882233842583181,1,무선통신
코웨이,0.5319351182323058,-0.1836749765271258,1,내구소비재
삼성카드,0.5604763077661752,0.0084818472435543,1,소비자 금융
LG디스플레이,0.3189449562968572,0.5978592232148197,3,디스플레이 및 관련부품
한화,0.5652862893489468,-0.0740642348663127,1,복합 산업
LS,0.5613378226426442,-0.0002307189152611,1,전기장비
